0,SL,FILE NAME,CUT RATE
1,1,AMAZE,785
2,,AMAZE SHEER,759
3,2,APPLE,722
4,3,AROMA,249
5,,AROMA NET,249
6,,AROMA PLAIN,197
7,4,ASIAN SHEER,722
8,5,"BLACKOUT 48""",336
9,,"BLACKOUT 54""",362
10,6,BEAUTIFUL,459
11,7,BHARAT,522
12,8,BLACK DIAMOND,365
13,9,BRAZIL,315
14,10,CHILLI,289
15,11,CHARM,289
16,12,COCO MAIN,774
17,,COCO ROMO,722
18,13,COTTON FEEL,578
19,,COTTON FEEL EMB,578
20,14,CRYSTAL COMET,459
21,,CRYSTAL DIGICOM,662
22,,CRYSTAL FILOCOM,759
23,15,DIAMOND CRUSH,158
24,17,DIGITAL WORLD,984
25,,DIGITAL SHEER,722
26,20,EXOTIC,591
27,22,FOREST,551
28,23,GALAXY,499
29,24,GARNET,942
30,,GARNET SHEER,853
31,25,GERMANY,486
32,26,GLAM,759
33,,GLAM SHEER,759
34,27,GENEVA,732
35,28,"GOLDEN KING 54""",785
36,,"GOLDEN KING SHEER 48""",853
37,30,HIGH LIVING  (A),814
38,,HIGH LIVING FOIL ( C ),1194
39,,HIGH LIVING SHEER (B),591
40,31,ICE CRUSH,197
41,33,KASHMIR,785
42,34,KISMIS EMB,748
43,,KISMIS MAIN,669
44,35,KING KOIL,499
45,36,KOHINOOR,748
46,37,LATVIA,486
47,38,LEGACY,551
48,39,LEXUS,289
49,41,LINEN RICH,407
50,,LINEN SHEER,433
51,42,"LINING 48""",131
52,,"LINING 54""",158
53,44,LOTUS,722
54,,LOTUS EMB,814
55,,LOTUS SHEER,591
56,45,MANGO,554
57,47,MARS,459
58,49,MILLY,260
59,51,MYRA KING,984
60,,MYRA KING SHEER,722
61,52,NEW JERSY,866
62,,SAHARA NET,591
63,55,NITRO - 2,276
64,56,NITRO - 3,276
65,57,NOVA,709
66,59,ORACAL,551
67,,ALPINE SHEER,512
68,60,PHOINEX,643
69,,PHOINEX SHEER,512
70,62,RANGE ROVER,499
71,63,RENO NET,683
72,,RENO sofa,630
73,64,RICHFEEL,578
74,66,SAFARI,499
75,68,SAN MARINO,407
76,69,SINGNATURE,420
77,70,SILICON,1116
78,72,SOFT TOUCH,942
79,,SOFT TOUCH SHEER,627
80,73,SPECIAL,780
81,74,SUPER EMB,1158
82,,SUPER MAIN,853
83,75,SUNRISE,499
84,76,SWEET DREAMS,722
85,78,THAR,785
86,81,TRENDY MAIN,578
87,,TRENDY NET,722
88,,TRENDY SANTRO,433
89,82,WHITE HOUSE,512
