PL DECOR,,,,
Collection,CUT RATE,MRP,,MRP
ADORE,280,280,280,735
ALL SEASON,175,175,175,459
ALEXA,360,360,360,945
AMPERA NEW,,,,0
AMPERA,180,180,180,473
SHEER WORLD,165,165,165,433
APRICOT,490,490,490,1286
BANDHEJ NEW,365,365,365,958
BABBLES,105,105,105,276
BENIN NEW,165,165,165,433
"B&D NEW
 BLOCK-OFF",220,220,220,578
DARK ROOM,160,160,160,420
BERLIN NEW,250,250,250,656
BIRA,125,125,125,328
"BLACKOUT
 PREMIUM",130,130,130,341
BRAVO,₹ 165,₹,165,433
COMPASS BOX,,#VALUE!,,0
PLAIN,₹ 280,₹,280,735
PRINT,₹ 375,₹,375,984
COLOMBIA,,#VALUE!,,0
HOMIE,₹ 300,₹,300,788
SHEER,₹ 165,₹,165,433
FOX PLAIN,₹ 205,₹,205,538
CHARLIE BROWN,₹ 225,₹,225,591
CELEBRITY,₹ 230,₹,230,604
COSMOS NEW,₹ 365,₹,365,958
COSTA NEW,₹ 255,₹,255,669
COTON TEXTURE,,#VALUE!,,0
PLAIN,₹ 305,₹,305,801
SHEERS,₹ 190,₹,190,499
CRANBERRY,₹ 230,₹,230,604
CINDERELLA,₹ 340,₹,340,893
CASPER,₹ 475,₹,475,1247
COUNTRY SHEERS,,#VALUE!,,0
SHEER,₹ 205,₹,205,538
MAIN FABRIC,₹ 225,₹,225,591
DIGITAL,₹ 255,₹,255,669
DESTINY,₹ 280,₹,280,735
DOVE SHEERS,,#VALUE!,,0
FOX PLAIN,₹ 205,₹,205,538
TISSUE,₹ 240,₹,240,630
ELDER,₹ 260,₹,260,683
"FOSHAN NEW
 (EASY CLEAN",₹ 400,₹,400,1050
FRANCE,₹ 410,₹,410,1076
GRACE VELVET,₹ 185,₹,185,486
GERMAN PLAIN,₹ 198,₹,198,520
,,#VALUE!,,0
"GERMANY NEW
 (100% BLACKOUT)",₹ 465,₹,465,1221
,,#VALUE!,,0
HAMBURG NEW,₹ 380,₹,380,998
,,#VALUE!,,0
"HASTAG
 (WIDER WIDTH)",,#VALUE!,,0
SHEER,₹ 505,₹,505,1326
MICRO 4 PASS,₹ 280,₹,280,735
HADLEY,₹ 220,₹,220,578
HUM-TUM,,#VALUE!,,0
PLAIN,₹ 75,₹,75,197
EMBOSS,₹ 80,₹,80,210
HOLLAND,₹ 140,₹,140,368
IMAGICA NEW,₹ 385,₹,385,1011
"INDOOR &OUTDOOR STORY NEW
 PLAIN PRINT",,#VALUE!,,0
ISLAND NEW,,#VALUE!,,0
MAIN,₹ 190,₹,190,499
COUNTRY SHEER,₹ 205,₹,205,538
,,#VALUE!,,0
"ITALIAN VELVET
 NEW",₹ 380,₹,380,998
JAGUAR 2 ND,₹ 210,₹,210,551
JAMESON,₹ 240,₹,240,630
JAPAN NEW (100% BLACKOUT),₹ 380,₹,380,998
,₹ 380,₹,380,998
JERRY (AGAINST SUN),,#VALUE!,,0
EMBOSS,₹ 165,₹,165,433
EMBOSS PLUS,₹ 180,₹,180,473
JORDAN,₹ 365,₹,365,958
KELLEN,₹ 220,₹,220,578
KRABI,,#VALUE!,,0
PRINT,₹ 250,₹,250,656
SHEERS,₹ 190,₹,190,499
LEGEND,₹ 335,₹,335,879
LINEN SHEERS,₹ 190,₹,190,499
MERRY,₹ 205,₹,205,538
,,#VALUE!,,0
MAGNUM,₹ 290,₹,290,761
,,#VALUE!,,0
MARCHALL NEW,₹ 385,₹,385,1011
,,#VALUE!,,0
MEXICO NEW,₹ 305,₹,305,801
"MUNNAR NEW
 SHEER",,#VALUE!,,0
SHEER,₹ 205,₹,205,538
MAGNUM,₹ 290,₹,290,761
NATURE BANK,,#VALUE!,,0
PRINT,₹ 395,₹,395,1037
PLAIN,₹ 213,₹,213,559
NORWAY,,#VALUE!,,0
FABRIC,₹ 240,₹,240,630
TISSUE,₹ 240,₹,240,630
NODDY NEW,₹ 385,₹,385,1011
,,#VALUE!,,0
ORCHID NEW,₹ 480,₹,480,1260
"OXFORD NEW
 BLACKOUT",₹ 160,₹,160,420
PARKER,,#VALUE!,,0
PARKER,₹ 115,₹,115,302
PARKER PLUS(FOIL),₹ 135,₹,135,354
PETER-PAN,₹ 345,₹,345,906
PLUTO,₹ 260,₹,260,683
PILOT NEW,,#VALUE!,,0
PILOT,₹ 115,₹,115,302
PILOT PLUS,₹ 135,₹,135,354
PIEGON,₹ 340,₹,340,893
PINAKI NEW,₹ 345,₹,345,906
PRADA,₹ 340,₹,340,893
POPEYE,₹ 425,₹,425,1116
"RATHAMBORE
 NEW",₹ 365,₹,365,958
RIVER,₹ 255,₹,255,669
SERBIA,₹ 175,₹,175,459
SIGNATURE,₹ 225,₹,225,591
SPANISH,₹ 465,₹,465,1221
SPLASH NEW,₹ 345,₹,345,906
SHEER WOLD,,#VALUE!,,0
TISSUE,₹ 165,₹,165,433
FOX-PLAIN,₹ 205,₹,205,538
SIRI,₹ 240,₹,240,630
SHEER FOREVER,,#VALUE!,,0
TISSUE,₹ 345,₹,345,906
WOODY,₹ 290,₹,290,761
FOX-PLAIN,₹ 205,₹,205,538
STELLA,₹ 125,₹,125,328
TIMELESS NEW,₹ 165,₹,165,433
TOP SELLER NEW,₹ 198,₹,198,520
"TO SUN NEW
 (100% BLACKOUT)",₹ 425,₹,425,1116
"TOM
 BLACKOUT
 BLACKOUT PLUS",150,150,,0
THE MACALLAN,₹ 355,₹,355,932
"TURKEY LEATHER
 NEW",₹ 550,₹,550,1444
"VALLEY OF
 FLOWERS NEW",₹ 410,₹,410,1076
VARKALA NEW,₹ 195,₹,195,512
WINTER NEW,₹ 500,₹,500,1313
WOODY,₹ 275,₹,275,722
ZIZI NEW,₹ 400,₹,400,1050
