SHIVANA,,,,,
Catalogue,Code,Width,Roll,Cut,Cut
Plush,,"54""",279,310,814
Saanjh,,"54""",374,416,1092
Bloom,A,"54""",306,340,893
,B,"54""",253,281,738
,C,"54""",318,353,927
,D,"54""",343,381,1000
,E,"54""",279,310,814
,F,"54""",299,331,869
,G,"54""",340,378,992
Breeze,A,"54""",275,305,801
,B,"54""",310,344,903
Amberley,,"48""",213,236,620
Pluche,,"54""",415,461,1210
Oxford,,"54""",439,488,1281
Discovery,Lama,"54""",279,310,868
,Suzuki,"54""",364,404,1131
,Cozy,"54""",377,419,1173
,Page-3 Vento,"54""",389,433,1212
,Page-3 Napa,"54""",421,467,1308
,Page-3 Zen,"54""",472,524,1467
,Ferrari,"54""",449,499,1397
,Address,"54""",458,509,1425
,Passport,"54""",458,509,1425
